key,english,french
listing.safety.ageRange,Age range: {min}-{max} years,Tranche d'âge : {min}-{max} ans
listing.safety.equipmentProvided,Safety equipment provided,Équipement de sécurité fourni
listing.safety.fitnessLevel,Required fitness level,Niveau de forme physique requis
listing.safety.insuranceRequired,Insurance required,Assurance requise
listing.safety.maximumAge,Maximum age: {age} years,Âge maximum : {age} ans
listing.safety.minimumAge,Minimum age: {age} years,Âge minimum : {age} ans
listing.safety.notSuitableFor,Not suitable for,Non adapté pour
listing.safety.title,Safety Information,Informations de Sécurité
listing.sejour_booking_note,Book the complete multi-day package,Réservez le package complet multi-jours
listing.start_end_points,Start/End Points,Départ/Arrivée
listing.total_ascent,Total Ascent,Dénivelé positif
listing.total_descent,Total Descent,Dénivelé négatif
listing.total_distance,Total Distance,Distance totale
listing.trail_map,Trail Map,Carte du parcours
listing.trust_signals.book_advance,Book at least {hours}h in advance,Réserver au moins {hours}h à l'avance
listing.trust_signals.instant_confirmation,Instant confirmation,Confirmation instantanée
listing.trust_signals.mobile_ticket,Mobile ticket accepted,Billet mobile accepté
listing.trust_signals.secure_payment,Secure payment,Paiement sécurisé
listing.trust_signals.small_group,Small group (max {size}),Petit groupe (max {size})
listing.urgency.filling_fast_tomorrow,🔥 Filling up fast for tomorrow,🔥 Se remplit rapidement pour demain
listing.urgency.limited_month,📅 Limited availability this month,📅 Disponibilité limitée ce mois-ci
listing.urgency.popular_choice,🔥 Popular choice · {count} bookings,🔥 Choix populaire · {count} réservations
listing.urgency.spots_left_today,"⚠️ Only {count, plural, =1 {1 spot} other {# spots}} left today!","⚠️ Plus que {count, plural, =1 {1 place} other {# places}} aujourd'hui !"
listing.urgency.top_rated,⭐ Top rated · {count} reviews,⭐ Top noté · {count} avis
listing.waypoints,Waypoints,Points de passage
listings_page.all_locations,All Locations,Toutes les Localités
listings_page.all_types,All Types,Tous les Types
listings_page.clear_all_filters,Clear All Filters,Effacer les Filtres
listings_page.experience_type,Experience Type,Type d'Expérience
listings_page.filters,Filters,Filtres
listings_page.found_experiences,"Found {count} {count, plural, =1 {experience} other {experiences}}","{count} {count, plural, =1 {expérience trouvée} other {expériences trouvées}}"
listings_page.location,Location,Localité
listings_page.no_results,No listings found. Try adjusting your search.,Aucune activité trouvée. Essayez d'ajuster votre recherche.
listings_page.search_placeholder,Search destinations...,Rechercher des destinations...
listings_page.sort_and_filter,Sort & Filter,Trier et Filtrer
listings_page.sort_by,Sort By,Trier par
listings_page.sort_highest_rated,Highest Rated,Mieux Notés
listings_page.sort_newest,Newest First,Plus Récents
listings_page.sort_popular,Most Popular,Plus Populaires
listings_page.sort_price_high,Price: High to Low,Prix : Décroissant
listings_page.sort_price_low,Price: Low to High,Prix : Croissant
listings_page.title_all,All Experiences,Toutes les Expériences
listings_page.title_events,Events,Événements
listings_page.title_sejours,Adventure Trips,Séjours d'aventure
listings_page.title_tours,Activities,Activités
map.loading,Loading map...,Chargement de la carte...
map.view_details,View Details,Voir les Détails
navigation.about,About,À Propos
navigation.blog,Blog,Blog
navigation.contact,Contact,Contact
navigation.customTrip,Request Custom Trip,Voyage Sur Mesure
navigation.events,Events,Événements
navigation.home,Home,Accueil
navigation.sejours,Adventure Trips,Séjours d'aventure
navigation.tours,Activities,Activités
participants.adult,Adult,Adulte
participants.billing_contact,Billing Contact,Contact de Facturation
participants.booking_not_found,Booking not found,Réservation non trouvée
participants.booking_number,Booking,Réservation
participants.child,Child,Enfant
participants.completed,completed,complétés
participants.email,Email,Email
participants.first_name,First Name,Prénom
participants.infant,Infant,Bébé
participants.last_name,Last Name,Nom
participants.names_required_notice,This activity requires participant names. Please fill in all names to download your vouchers.,Cette activité nécessite les noms des participants. Veuillez remplir tous les noms pour télécharger vos bons.
participants.participant,Participant,Participant
participants.phone,Phone,Téléphone
participants.progress,Progress,Progression
participants.save_and_view_vouchers,Save & View Vouchers,Enregistrer et Voir les Bons
participants.saving,Saving...,Enregistrement...
participants.subtitle,Add names for all participants to receive individual vouchers with QR codes.,Ajoutez les noms de tous les participants pour recevoir des bons individuels avec QR codes.
participants.title,Enter Participant Names,Entrer les Noms des Participants
participants.update_error,Failed to update participants. Please try again.,Échec de la mise à jour des participants. Veuillez réessayer.
payment.account_holder,Account Holder,Titulaire du compte
payment.bank_name,Bank,Banque
payment.bank_transfer,Bank Transfer,Virement Bancaire
payment.bank_transfer_description,Transfer directly to our bank account,Transférer directement sur notre compte bancaire
payment.bank_transfer_info,Please transfer the total amount to the following account:,Veuillez transférer le montant total sur le compte suivant :
payment.bank_transfer_instructions,Bank Transfer Instructions,Instructions de Virement Bancaire
payment.bank_transfer_note,Please include your booking number in the transfer reference,Veuillez inclure votre numéro de réservation dans la référence du virement
payment.card,Credit/Debit Card,Carte de Crédit/Débit
payment.card_description,Pay securely with your card,Payez en toute sécurité avec votre carte
payment.cash,Cash on Arrival,Espèces à l'Arrivée
payment.cash_description,Pay in cash when you arrive,Payez en espèces à votre arrivée
payment.cash_info,You can pay in cash when you arrive at the meeting point. Please bring exact change if possible.,Vous pouvez payer en espèces à votre arrivée au point de rencontre. Veuillez apporter l'appoint si possible.
payment.cash_instructions,Cash Payment,Paiement en Espèces
payment.clictopay,Pay by Card (Clictopay),Payer par Carte (Clictopay)
payment.clictopay_description,"Secure payment by Visa, Mastercard, or local bank cards","Paiement sécurisé par Visa, Mastercard ou cartes bancaires locales"
payment.mock,Mock Payment,Paiement Test
payment.mock_description,Test payment for development,Paiement de test pour le développement
payment.mock_payment,Test Payment Mode,Mode Paiement Test
payment.mock_payment_info,This is a test payment that will be automatically approved. No real payment will be processed.,Ceci est un paiement de test qui sera automatiquement approuvé. Aucun paiement réel ne sera effectué.
payment.paypal_description,Pay with your PayPal account,Payez avec votre compte PayPal
payment.secure_payment,Secure Payment,Paiement Sécurisé
payment.select_method,Select Payment Method,Sélectionnez le Mode de Paiement
payment.select_method_subtitle,Choose how you'd like to pay,Choisissez comment vous souhaitez payer
price_breakdown.qty,Qty,Qté
price_breakdown.subtotal,Subtotal,Sous-total
price_breakdown.title,Price Breakdown,Détail du prix
price_breakdown.total,Total,Total
price_breakdown.type,Type,Type
price_breakdown.unit_price,Price,Prix
profile.account_deleted,Your account has been deleted,Votre compte a été supprimé
profile.allowed_file_types,"Allowed file types: JPG, PNG, WebP","Types de fichiers autorisés : JPG, PNG, WebP"
profile.avatar,Profile Photo,Photo de Profil
profile.avatar_removed,Profile photo removed successfully,Photo de profil supprimée avec succès
profile.avatar_updated,Profile photo updated successfully,Photo de profil mise à jour avec succès
profile.booking_reminders,Booking Reminders,Rappels de Réservation
profile.booking_reminders_desc,Reminders before your activities,Rappels avant vos activités
profile.breadcrumb_delete,Delete Account,Supprimer le Compte
profile.breadcrumb_edit,Edit,Modifier
profile.breadcrumb_password,Password,Mot de Passe
profile.breadcrumb_preferences,Preferences,Préférences
profile.breadcrumb_profile,Profile,Profil
profile.cancel,Cancel,Annuler
profile.change_avatar,Change Photo,Changer la Photo
profile.change_password,Change Password,Changer le Mot de Passe
profile.confirm_delete,"Yes, Delete My Account","Oui, Supprimer Mon Compte"
profile.confirm_password,Confirm New Password,Confirmer le Nouveau Mot de Passe
profile.currency,Currency,Devise
profile.current_password,Current Password,Mot de Passe Actuel
profile.data_exported,Your data has been exported successfully,Vos données ont été exportées avec succès
profile.delete_account,Delete Account,Supprimer le Compte
profile.delete_account_description,Deleting your account will:,La suppression de votre compte entraînera :
profile.delete_account_title,Delete My Account,Supprimer Mon Compte
profile.delete_account_warning,This action is permanent and cannot be undone,Cette action est permanente et ne peut pas être annulée
profile.delete_bullet_1,Permanently delete your profile and personal data,La suppression définitive de votre profil et données personnelles
profile.delete_bullet_2,Anonymize your booking history (bookings will be preserved for records),L'anonymisation de votre historique de réservations (les réservations seront conservées pour les archives)
profile.delete_bullet_3,Anonymize your reviews,L'anonymisation de vos avis
profile.delete_bullet_4,Log you out of all devices,Votre déconnexion de tous les appareils
profile.delete_error,Failed to delete account. Please try again.,Échec de la suppression du compte. Veuillez réessayer.
profile.deleting,Deleting Account...,Suppression du Compte...
profile.display_name,Display Name,Nom d'Affichage
profile.edit_profile,Edit Profile,Modifier le Profil
profile.email,Email Address,Adresse Email
profile.email_notifications,Email Notifications,Notifications par Email
profile.email_notifications_desc,Receive booking confirmations and updates,Recevoir les confirmations et mises à jour de réservation
profile.export_data,Export My Data,Exporter Mes Données
profile.export_data_desc,Download a copy of your data before deleting,Télécharger une copie de vos données avant la suppression
profile.first_name,First Name,Prénom
profile.invalid_current_password,Current password is incorrect,Le mot de passe actuel est incorrect
profile.invalid_email,Please enter a valid email address,Veuillez saisir une adresse email valide
profile.keep_account,Keep My Account,Conserver Mon Compte
profile.language,Language,Langue
profile.last_name,Last Name,Nom
profile.marketing_emails,Marketing Emails,Emails Marketing
profile.marketing_emails_desc,"Get news, offers, and travel inspiration","Recevoir les nouveautés, offres et inspirations de voyage"
profile.max_file_size,File size must be less than 2MB,La taille du fichier doit être inférieure à 2 Mo
profile.new_password,New Password,Nouveau Mot de Passe
profile.notifications_title,Notifications,Notifications
profile.password_error,Failed to update password. Please check your current password.,Échec de la mise à jour du mot de passe. Veuillez vérifier votre mot de passe actuel.
profile.password_requirements,Password must be at least 8 characters,Le mot de passe doit contenir au moins 8 caractères
profile.password_updated,Password updated successfully. All other sessions have been logged out.,Mot de passe mis à jour avec succès. Toutes les autres sessions ont été déconnectées.
profile.passwords_must_match,Passwords must match,Les mots de passe doivent correspondre
profile.personal_info,Personal Information,Informations Personnelles
profile.phone,Phone Number,Numéro de Téléphone
profile.preferences,Preferences,Préférences
profile.preferences_updated,Preferences updated successfully,Préférences mises à jour avec succès
profile.profile_updated,Profile updated successfully,Profil mis à jour avec succès
profile.remove_avatar,Remove Photo,Supprimer la Photo
profile.required_field,This field is required,Ce champ est obligatoire
profile.review_reminders,Review Reminders,Rappels d'Avis
profile.review_reminders_desc,Prompts to review your experiences,Invitations à donner votre avis sur vos expériences
profile.save_changes,Save Changes,Enregistrer les Modifications
profile.save_preferences,Save Preferences,Enregistrer les Préférences
profile.saving,Saving...,Enregistrement...
profile.title,My Profile,Mon Profil
profile.update_error,Failed to update profile. Please try again.,Échec de la mise à jour du profil. Veuillez réessayer.
profile.update_password,Update Password,Mettre à Jour le Mot de Passe
profile.updating,Updating...,Mise à Jour...
profile.upload_avatar,Upload Photo,Télécharger Photo
profile.upload_error,Failed to upload photo. Please try again.,Échec du téléchargement de la photo. Veuillez réessayer.
reviews.add_con,Add a con,Ajouter un point négatif
reviews.add_pro,Add a pro,Ajouter un point positif
reviews.based_on,Based on {count} reviews,Basé sur {count} avis
reviews.be_first,Be the first to leave a review!,Soyez le premier à laisser un avis !
reviews.cons,Cons,Points Négatifs
reviews.helpful,Helpful,Utile
reviews.no_reviews,No reviews yet,Aucun avis pour le moment
reviews.no_reviews_message,Be the first to experience this adventure and share your thoughts with fellow travelers!,Soyez le premier à vivre cette aventure et partagez votre expérience avec les autres voyageurs !
reviews.no_reviews_title,No reviews yet,Pas encore d'avis
reviews.pros,Pros,Points Positifs
reviews.rating,Rating,Note
reviews.rating_breakdown,Rating Breakdown,Répartition des Notes
reviews.reply_from_vendor,Reply from vendor,Réponse du prestataire
reviews.review_content,Your Review,Votre Avis
reviews.review_title,Review Title,Titre de l'Avis
reviews.select_rating,Select a rating,Sélectionnez une note
reviews.sort_helpful,Most Helpful,Plus Utiles
reviews.sort_highest,Highest Rated,Mieux Notés
reviews.sort_newest,Newest,Plus Récents
reviews.submit,Submit Review,Soumettre l'Avis
reviews.title,Reviews,Avis
reviews.verified_booking,Verified Booking,Réservation Vérifiée
reviews.write_review,Write a Review,Écrire un Avis
vendor.about,About,À Propos
vendor.contact,Contact Vendor,Contacter le Prestataire
vendor.listings,Listings,Activités
vendor.member_since,Member since,Membre depuis
vendor.profile,Vendor Profile,Profil du Prestataire
vendor.verified,Verified Vendor,Prestataire Vérifié
vouchers.activities_count,{count} activities,{count} activités
vouchers.activity,Activity,Activité
vouchers.activity_error,Activity {number} - Error loading,Activité {number} - Erreur de chargement
vouchers.activity_number,Activity {number},Activité {number}
vouchers.all_activities_vouchers,Your vouchers for all activities,Vos bons pour toutes les activités
vouchers.back_to_bookings,Back to My Bookings,Retour à mes réservations
vouchers.booking_not_found,Booking not found,Réservation non trouvée
vouchers.booking_number,Booking,Réservation
vouchers.cart_subtitle,{bookings} activities • {vouchers} vouchers,{bookings} activités • {vouchers} bons
vouchers.checked_in,Checked In,Enregistré
vouchers.complete_names_first,Please enter all participant names first.,Veuillez entrer tous les noms des participants d'abord.
vouchers.complete_names_to_get_vouchers,Complete participant names to get vouchers,Complétez les noms des participants pour obtenir les bons
vouchers.complete_names_to_view,Complete participant names to view all vouchers.,Complétez les noms des participants pour voir tous les bons.
vouchers.date,Date,Date
vouchers.download_all,Download All Vouchers ({count}),Télécharger Tous les Bons ({count})
vouchers.download_all_hint,Downloads all vouchers as a single PDF,Télécharge tous les bons en un seul PDF
vouchers.download_pdf,Download PDF,Télécharger PDF
vouchers.enter_names,Enter Participant Names,Entrer les Noms des Participants
vouchers.error_loading,Error Loading Vouchers,Erreur de Chargement des Bons
vouchers.error_loading_message,We couldn't load your vouchers. Please try again or contact support.,Nous n'avons pas pu charger vos bons. Veuillez réessayer ou contacter le support.
vouchers.event,Event,Événement
vouchers.loading,Loading vouchers...,Chargement des bons...
vouchers.loading_vouchers,Loading vouchers...,Chargement des bons...
vouchers.location,Location,Lieu
vouchers.name_not_entered,Name not entered,Nom non renseigné
vouchers.no_bookings,No Bookings Found,Aucune Réservation Trouvée
vouchers.no_bookings_message,No booking IDs were provided.,Aucun identifiant de réservation n'a été fourni.
vouchers.no_vouchers_yet,Vouchers not ready yet,Bons pas encore prêts
vouchers.participant,Participant,Participant
vouchers.participants,participants,participants
vouchers.print_all,Print All,Tout Imprimer
vouchers.print_all_vouchers,Print All Vouchers,Imprimer tous les bons
vouchers.ready,Ready,Prêt
vouchers.scan_instruction,Present this QR code at check-in,Présentez ce QR code à l'enregistrement
vouchers.some_not_ready,{ready} of {total} activities ready,{ready} sur {total} activités prêtes
vouchers.subtitle,Present these vouchers at check-in. Each participant needs their own voucher.,Présentez ces bons à l'enregistrement. Chaque participant a besoin de son propre bon.
vouchers.time,Time,Heure
vouchers.title,Your Vouchers,Vos Bons
vouchers.total_vouchers,{count} total vouchers,{count} bons au total
vouchers.try_refresh,Please try refreshing the page.,Veuillez essayer de rafraîchir la page.
vouchers.voucher,Voucher,Bon
vouchers.vouchers_for,Vouchers for,Bons pour
vouchers.vouchers_not_ready,Vouchers Not Ready,Bons Pas Encore Prêts
vouchers.your_vouchers,Your Vouchers,Vos Bons
